orientation,batch_id,request_id,model,papers,latency_ms,prompt_tokens,completion_tokens,total_tokens
"original","list-01","0a57154b-a75e-4513-aed5-7e2565edb42f","deepseek-v4-pro",4,5722,1314,271,1585
"original","list-02","e4e9b21b-70c4-4eaa-8759-36a5d13436b5","deepseek-v4-pro",4,5029,1577,245,1822
"original","list-03","8bf04286-96a3-4fa2-8dc7-a7c15d12f3f4","deepseek-v4-pro",4,4365,1188,207,1395
"original","list-04","8da1e1b1-ba95-4b81-93c7-83160a00623f","deepseek-v4-pro",4,3640,1317,206,1523
"original","list-05","ae72eb8c-db74-4690-b9c2-1b4d5a599f31","deepseek-v4-pro",4,4708,1188,217,1405
"original","list-06","9a6b96cc-05cc-426f-9c55-7ac485298bc8","deepseek-v4-pro",4,4864,1410,282,1692
"original","list-07","15c01116-9b25-4c41-a5a5-ff763fafcac9","deepseek-v4-pro",4,5195,1197,265,1462
"original","list-08","1307ed22-5dd9-42ca-ac04-0613a77d46e8","deepseek-v4-pro",4,4327,1433,223,1656
"original","list-09","610f5a71-9c54-4f10-8104-02375519dbec","deepseek-v4-pro",4,4181,1317,241,1558
"original","list-10","6ca09535-6779-4014-87d2-45d70db9ba5d","deepseek-v4-pro",4,4671,1206,225,1431
"original","list-11","f07a929a-8309-4d7d-b3f8-2cd016f6cf8e","deepseek-v4-pro",4,5183,1385,232,1617
"original","list-12","ef6c53ac-a683-4579-a8d5-8df9a543ffe8","deepseek-v4-pro",4,4635,1415,230,1645
"original","list-13","5f123bf7-1c22-4c1e-ab13-d03d7a08882d","deepseek-v4-pro",4,3959,1256,206,1462
"original","list-14","eedec5d6-eafe-478f-b89f-ed219126c1af","deepseek-v4-pro",4,4678,1497,229,1726
"original","list-15","2c7c77d0-d801-48d5-9b20-46d33c8ced31","deepseek-v4-pro",4,4443,1376,223,1599
"original","list-16","51442fe3-79b0-4f72-9d78-9ba03c026b57","deepseek-v4-pro",4,5166,1040,247,1287
"original","list-17","4279c278-bd68-426d-8a6a-6af10f3612c6","deepseek-v4-pro",4,4975,1238,255,1493
"original","list-18","d4179b79-979e-4ceb-8189-2df02270e55c","deepseek-v4-pro",4,5017,1336,235,1571
"original","list-19","f686d0bc-18cf-4c5c-bc56-c0f827723cda","deepseek-v4-pro",4,4232,1290,205,1495
"original","list-20","362aed5e-da96-4e5c-ba6e-b54e56d58984","deepseek-v4-pro",4,4220,1203,199,1402
"original","list-21","2b63ae7b-c107-4b01-bee8-fc70c2809352","deepseek-v4-pro",4,4436,1304,225,1529
"original","list-22","bd7b5808-c6e6-442b-ae70-fe19871e4e67","deepseek-v4-pro",4,5254,1217,253,1470
"original","list-23","0e201eb9-8786-43fb-a81b-b043b9bd0afe","deepseek-v4-pro",4,4871,1258,229,1487
"original","list-24","59d0984e-c105-4bd1-ab65-21166ebd5821","deepseek-v4-pro",4,3603,1325,188,1513
"original","list-25","0a3eee82-0670-4ed9-acef-e1711ff6616a","deepseek-v4-pro",4,4953,1109,247,1356
"reversed","list-01","1eb3d842-1682-4be9-97ce-6fc3bfbdb567","deepseek-v4-pro",4,10122,1314,203,1517
"reversed","list-02","bedc54a8-5a92-45dd-9d29-60e57ad47acb","deepseek-v4-pro",4,5564,1577,213,1790
"reversed","list-03","5ad85198-add6-49f9-9c3f-4f76b45154eb","deepseek-v4-pro",4,5386,1188,199,1387
"reversed","list-04","73d17879-39fe-4106-ad6b-31e4992013da","deepseek-v4-pro",4,5404,1317,225,1542
"reversed","list-05","6605cf30-025d-4315-9aac-d9dc3ac9f917","deepseek-v4-pro",4,10986,1188,223,1411
"reversed","list-06","ff3cbc46-306f-46b9-b95a-4a76e6d66a9a","deepseek-v4-pro",4,7044,1410,208,1618
"reversed","list-07","b6cf6e74-a413-4b35-8a4d-ab6109a294f3","deepseek-v4-pro",4,6609,1197,280,1477
"reversed","list-08","a34db386-57af-41d8-94f5-3241cde8146f","deepseek-v4-pro",4,5782,1433,215,1648
"reversed","list-09","0d631315-9733-4b21-805b-f9ced71af942","deepseek-v4-pro",4,5903,1317,236,1553
"reversed","list-10","feb2c94e-4062-4856-aae7-aa643ed1db55","deepseek-v4-pro",4,4761,1206,220,1426
"reversed","list-11","a71b333d-fbfd-4377-8575-7d938316c706","deepseek-v4-pro",4,5616,1385,218,1603
"reversed","list-12","daeeaee7-93a0-46df-8df4-0d3d152f5708","deepseek-v4-pro",4,7139,1415,272,1687
"reversed","list-13","a1e6b372-c640-42bb-be8a-97937da87fef","deepseek-v4-pro",4,4373,1256,191,1447
"reversed","list-14","c30d95ad-0f09-44cd-882c-8a67b93a20ec","deepseek-v4-pro",4,7593,1497,293,1790
"reversed","list-15","7ee92380-cc95-4c26-ab6b-dee73464cd73","deepseek-v4-pro",4,10838,1376,227,1603
"reversed","list-16","aafcd131-96da-493a-87db-dd5ac8861152","deepseek-v4-pro",4,5476,1040,203,1243
"reversed","list-17","59ebb560-bbca-44aa-b717-5fe8c80bd129","deepseek-v4-pro",4,5299,1238,212,1450
"reversed","list-18","3e7a1047-297d-478f-ab74-e85d254201d8","deepseek-v4-pro",4,5469,1336,224,1560
"reversed","list-19","12302cef-0be9-4a8c-afbc-1dd04e5a6ecc","deepseek-v4-pro",4,4438,1290,196,1486
"reversed","list-20","46151121-bf40-4f40-8540-6e29577279eb","deepseek-v4-pro",4,4703,1203,206,1409
"reversed","list-21","189b1327-c081-4b7e-9d4e-e1300dc835d5","deepseek-v4-pro",4,4808,1304,204,1508
"reversed","list-22","24f1bef7-ea4f-4f1b-a134-d522bb57e791","deepseek-v4-pro",4,5249,1217,234,1451
"reversed","list-23","cd7eadaa-2fc7-4d64-9833-5fd11e2f5a8e","deepseek-v4-pro",4,4589,1258,232,1490
"reversed","list-24","7dfdaa1b-23da-4364-8bfa-6df478d7699a","deepseek-v4-pro",4,7288,1325,285,1610
"reversed","list-25","844138a5-f3c5-4eaf-898a-1de97b451eb3","deepseek-v4-pro",4,5519,1109,239,1348
