position,id_a,id_b,rts_a,rts_b,signed_diff,abs_diff,bucket,pub_year,cluster_cat,balanced_swap
0,548243,543865,0.0540042415057682,0.87499819689831504,-0.82099395539254683,0.82099395539254683,8,2025,bd7c9392-96a3-470e-8cfd-e912f3a5cb57,0
1,551368,547012,0.020461522689059802,0.82170873123909938,-0.80124720855003961,0.80124720855003961,8,2025,65df8dcc-56ef-4852-8582-81f810e0b331,1
2,536418,536349,0.099280547248517398,0.87499379230443053,-0.7757132450559131,0.7757132450559131,7,2024,289d7a79-121d-4b21-b267-52dcb2062197,0
3,132997,133456,0.87499819689831482,0.11390126506527321,0.76109693183304161,0.76109693183304161,7,2023,9ed512f7-cf40-4c31-adb2-c8494f6907fd,0
4,548232,548243,0.80027498801477637,0.0540042415057682,0.74627074650900815,0.74627074650900815,7,2025,bd7c9392-96a3-470e-8cfd-e912f3a5cb57,1
5,534291,537956,0.075504943096405305,0.80027498801477637,-0.72477004491837105,0.72477004491837105,7,2024,dce80af3-eaa4-4e8c-8359-1470c609ba8d,1
6,545061,540788,0.79642101212237659,0.075504943096405305,0.72091606902597127,0.72091606902597127,7,2025,7d17545e-445c-494a-b142-ada5499fa49d,1
7,543309,541692,0.87499443823146439,0.15886433714080539,0.716130101090659,0.716130101090659,7,2025,f40ae524-2644-4d2b-a661-4bdc107ab71c,1
8,541885,549076,0.0217458158950363,0.73117636229749627,-0.70943054640245995,0.70943054640245995,7,2025,a57b335a-77d2-4e93-8d8d-9dbafa96c6a6,1
9,531047,537466,0.075504943096405305,0.78482113275661347,-0.70931618966020815,0.70931618966020815,7,2024,e8d46c08-fca6-441a-a5ec-42f7ae3bb140,1
10,531278,531386,0.87499683651268634,0.1666667204118103,0.70833011610087604,0.70833011610087604,7,2024,ff532f41-ec85-447b-bb6a-51462f33a0d6,0
11,136604,135430,0.87499482185822053,0.1666666672993275,0.70832815455889309,0.70832815455889309,7,2022,83ef8aed-52c2-473e-b9d0-456d2cf7d4a4,0
12,543865,546427,0.87499819689831504,0.1683072435587841,0.70669095333953091,0.70669095333953091,7,2025,bd7c9392-96a3-470e-8cfd-e912f3a5cb57,1
13,539379,540271,0.16863437330847841,0.87499443823146439,-0.70636006492298598,0.70636006492298598,7,2024,653019ee-c218-4c21-b999-673a871e6c56,1
14,538335,535300,0.11642351242907741,0.82053108758242232,-0.70410757515334488,0.70410757515334488,7,2024,dbf082e3-d5a9-4bbd-a449-1e9c8194b8e2,0
15,136135,135722,0.87499922910026118,0.17258836528928459,0.70241086381097662,0.70241086381097662,7,2022,8927d5e3-6396-4c01-822a-44b13fb5ecf7,0
16,538251,533305,0.80446891189623548,0.10760545095769269,0.69686346093854279,0.69686346093854279,6,2024,3a9b0032-1c74-40f1-991b-2d8a4ac9f123,1
17,535732,535985,0.87499955874802815,0.1782912687609006,0.69670828998712753,0.69670828998712753,6,2024,13972d7f-301b-4851-b10f-1d8c7862cc23,0
18,535985,530895,0.1782912687609006,0.87498775795740302,-0.6966964891965024,0.6966964891965024,6,2024,13972d7f-301b-4851-b10f-1d8c7862cc23,0
19,537993,535830,0.82053108758242232,0.12500018970651861,0.69553089787590372,0.69553089787590372,6,2024,2099ec17-8053-4aab-b960-b12706628052,0
20,541885,545677,0.0217458158950363,0.71613567403554401,-0.69438985814050769,0.69438985814050769,6,2025,a57b335a-77d2-4e93-8d8d-9dbafa96c6a6,1
21,546728,548783,0.8306016807589518,0.13674162335548701,0.69386005740346479,0.69386005740346479,6,2025,e28b4fc3-6afe-4c04-a46e-a2bab4a13b5d,0
22,548355,542744,0.18750000000000561,0.87499981029348139,-0.68749981029347573,0.68749981029347573,6,2025,b753bc6f-18cb-42d4-8886-3224cdeebbcb,0
23,536349,538182,0.87499379230443053,0.18750000000915121,0.68749379229527929,0.68749379229527929,6,2024,289d7a79-121d-4b21-b267-52dcb2062197,0
24,549048,546567,0.18750000000915121,0.87497834067432778,-0.68747834066517655,0.68747834066517655,6,2025,50543a03-56ba-4213-9a34-ce4fc23b1a86,1
25,536349,538192,0.87499379230443053,0.19064119176633851,0.68435260053809199,0.68435260053809199,6,2024,289d7a79-121d-4b21-b267-52dcb2062197,1
26,539623,530870,0.75,0.075504943096405305,0.67449505690359468,0.67449505690359468,6,2024,00118d9f-6b35-41d4-b3a5-3826847a44ef,0
27,542325,548243,0.72763773665177622,0.0540042415057682,0.67363349514600801,0.67363349514600801,6,2025,bd7c9392-96a3-470e-8cfd-e912f3a5cb57,1
28,547141,547006,0.20151665839876229,0.8749976628292464,-0.67348100443048409,0.67348100443048409,6,2025,ac030846-56c9-4bbc-88e1-12530a0f1f36,1
29,550518,542744,0.20337973417308411,0.87499981029348139,-0.67162007612039731,0.67162007612039731,6,2025,b753bc6f-18cb-42d4-8886-3224cdeebbcb,0
30,548473,551817,0.058838982023854999,0.72947812846068638,-0.67063914643683142,0.67063914643683142,6,2025,76bdb69b-4b4a-4845-a47b-c872ec84f901,1
31,539289,538976,0.8199631039676829,0.14945020686185781,0.67051289710582507,0.67051289710582507,6,2024,7ff24d6c-f864-40d5-902d-b834f72d6061,0
32,133586,134125,0.039894751518163699,0.70833333333333048,-0.6684385818151668,0.6684385818151668,6,2023,e1ac9491-4e02-45c9-bd26-eec8c93f738a,1
33,544892,548280,0.083929836602553098,0.75092527582180002,-0.66699543921924698,0.66699543921924698,6,2025,03c4681e-2e75-4db2-a147-1dbfc73f7815,1
34,540814,550887,0.6875,0.021207546200776799,0.66629245379922319,0.66629245379922319,6,2025,7c38bc9b-3a1c-4575-8798-4caa3cd93553,0
35,539874,535436,0.086294974170535194,0.75003716905967166,-0.66374219488913644,0.66374219488913644,6,2024,949b4f80-e4e7-4555-bc13-884322c9fa68,0
36,552090,548473,0.72219195120908974,0.058838982023854999,0.66335296918523479,0.66335296918523479,6,2025,76bdb69b-4b4a-4845-a47b-c872ec84f901,1
37,541669,547603,0.83678091704807789,0.17463259741486459,0.6621483196332133,0.6621483196332133,6,2025,d7232fd6-d68b-4fcd-a139-90e5efaf2227,1
38,536134,536100,0.87497837302318737,0.21519243421757361,0.65978593880561376,0.65978593880561376,6,2024,1623cbc7-e7f8-460f-80f4-d40313e25172,1
39,133077,134085,0.1251022518994617,0.78482113275661347,-0.6597188808571518,0.6597188808571518,6,2023,9ff54b02-6fa4-4ef7-b19b-006038275b65,1
40,539892,530870,0.73117636229749638,0.075504943096405305,0.65567141920109107,0.65567141920109107,6,2024,00118d9f-6b35-41d4-b3a5-3826847a44ef,0
41,548243,544560,0.0540042415057682,0.70931718597857829,-0.65531294447281008,0.65531294447281008,6,2025,bd7c9392-96a3-470e-8cfd-e912f3a5cb57,0
42,136985,135897,0.22228875750047411,0.87492326165956191,-0.65263450415908775,0.65263450415908775,6,2022,6c8f3067-27bb-4a1b-8e7b-53d2606fff47,1
43,136256,137427,0.11745878929569489,0.76920336787564025,-0.65174457857994539,0.65174457857994539,6,2022,08561405-f784-4714-a288-9e8712280ea5,0
44,543018,550659,0.1822713482100525,0.83392238470085567,-0.65165103649080314,0.65165103649080314,6,2025,1e3625c9-abe5-4b2e-a74b-0c644cda1ba2,1
45,551702,544351,0.75795689056571347,0.1065862742491894,0.65137061631652404,0.65137061631652404,6,2025,ae1b490a-6011-4978-a008-0052c0402d4c,1
46,537866,534528,0.80027498801477637,0.14945020686185781,0.65082478115291853,0.65082478115291853,6,2024,b7c9ed6f-e781-4a9f-af50-09a5aa31aa14,1
47,544080,547012,0.17258836528928459,0.82170873123909938,-0.64912036594981481,0.64912036594981481,6,2025,65df8dcc-56ef-4852-8582-81f810e0b331,1
48,545063,541149,0.1683072435587841,0.81679125059392066,-0.64848400703513653,0.64848400703513653,6,2025,9c2a617b-dcec-47e5-a8b8-cdb9a74c575e,1
49,135831,137490,0.80446891189623548,0.1598214939296099,0.64464741796662561,0.64464741796662561,6,2022,d3c37082-670f-4efd-b363-cb3925ebbaa5,0
50,544289,545468,0.1065862742491895,0.75,-0.64341372575081046,0.64341372575081046,6,2025,38b2e5b7-c7e2-4b29-885e-ad245a5561dd,1
51,133077,135255,0.1251022518994617,0.7671057641512864,-0.64200351225182473,0.64200351225182473,6,2023,9ff54b02-6fa4-4ef7-b19b-006038275b65,0
52,131138,133238,0.75637766018378183,0.1150609780490606,0.64131668213472126,0.64131668213472126,6,2023,a68d1900-0862-44cf-a903-0b7f25fcbfb2,0
53,546685,543383,0.82381937651221804,0.1832115628971949,0.64060781361502317,0.64060781361502317,6,2025,11cdf108-69fb-4e53-aa4d-15df91adb15c,0
54,543201,544386,0.72322243467426695,0.083507782262632099,0.63971465241163483,0.63971465241163483,6,2025,f3b06b01-0a34-4f72-b469-1ea8c277970d,0
55,135361,136731,0.054772439916074799,0.69353392041748219,-0.63876148050140735,0.63876148050140735,6,2022,a1ee39e0-a69b-465d-8bda-206612041d17,1
56,544623,550242,0.1782912687609006,0.81679125059392066,-0.63849998183302004,0.63849998183302004,6,2025,53cda348-05a9-4e68-ba78-63c078294bf6,1
57,543674,548172,0.81249999876856771,0.17412501161569691,0.63837498715287078,0.63837498715287078,6,2025,392693fb-1e4f-448f-8d26-987b9b7d76ad,0
58,134727,133456,0.74997557814097215,0.11390126506527321,0.63607431307569895,0.63607431307569895,6,2023,9ed512f7-cf40-4c31-adb2-c8494f6907fd,0
59,131320,131924,0.87497834067432789,0.24085567509887751,0.63412266557545038,0.63412266557545038,6,2023,86fc1871-3178-4dd7-904f-1fa445188a42,1
60,546427,548232,0.1683072435587841,0.80027498801477637,-0.63196774445599224,0.63196774445599224,6,2025,bd7c9392-96a3-470e-8cfd-e912f3a5cb57,0
61,543383,546233,0.1832115628971949,0.81428897386238397,-0.6310774109651891,0.6310774109651891,6,2025,11cdf108-69fb-4e53-aa4d-15df91adb15c,1
62,550947,547362,0.1809042127385849,0.81159192711249317,-0.63068771437390825,0.63068771437390825,6,2025,5a05a12a-0ebf-4fde-a354-a0b64a92e6fa,1
63,540455,538297,0.1782912687609006,0.80872687437750157,-0.63043560561660095,0.63043560561660095,6,2024,e5f554b3-fce8-4355-aa99-01dc27008cc9,1
64,137075,137242,0.0461654476041218,0.67540225425644507,-0.62923680665232329,0.62923680665232329,6,2022,f89536e6-52a4-40eb-92b2-20e95fcb5626,0
65,135104,134458,0.197718264688589,0.82585725453026448,-0.62813898984167549,0.62813898984167549,6,2023,0ec3cd54-9e7a-4b88-bd4b-9ec6f0b113e4,0
66,541951,545648,0.1892889738729244,0.81708679003968099,-0.62779781616675656,0.62779781616675656,6,2025,f1dd22bb-8c76-4387-9075-e64821936379,0
67,541692,552169,0.15886433714080539,0.78482113275661347,-0.62595679561580808,0.62595679561580808,6,2025,f40ae524-2644-4d2b-a661-4bdc107ab71c,0
68,547833,544576,0.12500003533932849,0.75,-0.62499996466067154,0.62499996466067154,6,2025,cd5e27a5-24da-4bbb-b9f7-b24d5e692c20,1
69,542548,551757,0.25,0.87499985765929722,-0.62499985765929722,0.62499985765929722,6,2025,86f5669b-99db-48f9-b740-c7f0546fdbe3,1
